0.007534,1048576,139187496.40
0.237705,1048576,4411240.53
0.009729,1048576,107782049.04
0.040522,1048576,25876646.02
0.006193,1048576,169311922.97
0.054145,1048576,19366208.18
0.039619,1048576,26466673.35
0.037001,1048576,28339206.74
0.006916,1048576,151614951.43
0.050485,1048576,20770191.51
0.034361,1048576,30516347.45
0.056039,1048576,18711508.48
0.013491,1048576,77723226.79
0.024887,1048576,42134146.80
0.042243,1048576,24822477.20
0.061750,1048576,16981005.69
0.024938,1048576,42046735.73
0.018630,1048576,56283468.49
0.014216,1048576,73759312.24
0.033068,1048576,31709973.69
0.016969,1048576,61793749.19
0.031754,1048576,33021590.03
0.008765,1048576,119625908.09
0.039137,1048576,26792687.90
0.004339,1048576,241650907.20
0.034959,1048576,29994383.86
0.007180,1048576,146046573.39
0.033928,1048576,30906210.77
0.007263,1048576,144363909.77
0.044924,1048576,23340974.77
0.008903,1048576,117783784.44
0.025216,1048576,41583980.32
0.012123,1048576,86495693.18
0.028211,1048576,37168579.54
0.021975,1048576,47716681.25
0.040078,1048576,26163430.54
0.014816,1048576,70775277.37
0.044383,1048576,23625850.16
0.009045,1048576,115924154.86
0.026699,1048576,39273532.27
