0.479449,1048576,2187044.81
0.208742,1048576,5023313.40
0.241815,1048576,4336280.53
0.248348,1048576,4222212.47
0.353412,1048576,2967006.08
0.277509,1048576,3778523.57
0.198912,1048576,5271547.14
0.291590,1048576,3596057.39
0.284943,1048576,3679954.84
0.254095,1048576,4126711.13
0.265565,1048576,3948476.88
0.257452,1048576,4072895.08
0.265224,1048576,3953556.11
0.378302,1048576,2771793.62
0.333486,1048576,3144287.16
0.289689,1048576,3619657.31
0.273533,1048576,3833455.23
0.224223,1048576,4676484.39
0.237274,1048576,4419254.51
0.310942,1048576,3372251.46
