0.562319,1048576,1864736.59
0.371026,1048576,2826153.86
0.339766,1048576,3086168.67
0.236927,1048576,4425729.45
0.281165,1048576,3729398.86
0.283684,1048576,3696275.37
0.186141,1048576,5633234.59
0.228117,1048576,4596654.15
0.250659,1048576,4183281.05
0.224144,1048576,4678135.86
0.292566,1048576,3584071.60
0.273716,1048576,3830894.13
0.305606,1048576,3431132.72
0.233389,1048576,4492818.01
0.250518,1048576,4185625.99
0.256473,1048576,4088441.13
0.268264,1048576,3908745.80
0.272926,1048576,3841981.20
0.232994,1048576,4500440.53
0.265242,1048576,3953286.02
