0.017524,1048576,59838181.62
0.114786,1048576,9135058.50
0.019674,1048576,53298026.02
0.054202,1048576,19345848.52
0.017506,1048576,59899304.19
0.026140,1048576,40113521.63
0.028566,1048576,36706671.15
0.046136,1048576,22727865.43
0.006270,1048576,167226103.08
0.028765,1048576,36453236.34
0.015306,1048576,68506464.45
0.025592,1048576,40973425.42
0.006781,1048576,154632111.35
0.022436,1048576,46736020.90
0.009755,1048576,107489649.80
0.033796,1048576,31026783.15
0.010658,1048576,98383699.33
0.030450,1048576,34435604.31
0.015450,1048576,67871088.13
0.038407,1048576,27301966.68
0.017461,1048576,60052248.33
0.028044,1048576,37390406.05
0.005751,1048576,182317560.47
0.038655,1048576,27126499.63
0.022985,1048576,45619576.49
0.026564,1048576,39473393.09
0.025239,1048576,41545484.28
0.007941,1048576,132049676.07
0.006322,1048576,165851365.53
0.024913,1048576,42089388.87
0.007153,1048576,146601550.37
0.022505,1048576,46593917.97
0.029637,1048576,35380521.70
0.044671,1048576,23473524.57
0.008964,1048576,116981766.97
0.030668,1048576,34190920.70
0.004302,1048576,243767127.32
0.027358,1048576,38328204.76
0.031402,1048576,33392148.68
0.050866,1048576,20614425.78
