0.461965,1048576,2269818.91
0.419434,1048576,2499978.12
0.371865,1048576,2819773.93
0.246391,1048576,4255747.10
0.273223,1048576,3837797.20
0.455395,1048576,2302562.59
0.272866,1048576,3842827.16
0.388719,1048576,2697514.49
0.345859,1048576,3031803.62
0.263668,1048576,3976886.30
0.265363,1048576,3951481.67
0.264397,1048576,3965912.73
0.332105,1048576,3157363.63
0.313352,1048576,3346316.09
0.520128,1048576,2015996.02
0.266224,1048576,3938692.55
0.276542,1048576,3791743.01
0.304851,1048576,3439633.82
0.436709,1048576,2401084.09
0.316084,1048576,3317395.10
